show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,vote_average,popularity,final_rating
s30,TV Show,Yu-Gi-Oh! ARC-V,Unknown,"Michael Liscio Jr., Emily Bauer","Japan, Canada",2021-04-24,2018,TV-Y7,3 Seasons,"Action, Adventure, Animation",Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!,6.353,44.736,28.4207808
s31,TV Show,Yu-Gi-Oh! 5D's,Unknown,"Gregory Abbey, Bella Hudson, Ed Paul",Japan,2021-04-24,2011,TV-Y7,2 Seasons,"Anime, Kids","With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time.",8.2,23.589,19.34298
s32,TV Show,Your Bleeped Up Brain,Unknown,"Dobrokhotova Ekaterina, Mike New",United States,2021-04-24,2013,TV-PG,1 Season,TV Shows,"See what an alien abduction reveals about your memory, learn how a seance in the White House holds the key to superstition, uncover a conspiracy theory about the moon landing.",9.0,0.994,0.8946
s33,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",Egypt,2021-04-24,1949,NC-17,86 min,Drama,"Talented and beautiful Carol Williams (Forrest) is devastated when she learns she has contracted Polio and becomes crippled by the disease. The depressed and embittered young woman breaks her engagement to her dance partner and choreographer, Guy Richards (Brasselle), but he is determined to stay by her side. Preferring to be alone in her misery, Carol slowly learns to allow others to help her and share in her grief. She is finally able to bring herself to participate in and go on with her new life.",6.86,10.774,7.390963999999999
s34,Movie,Young Love (at the Sun Factory),Unknown,Unknown,France,2021-04-24,2007,NR,36 min,Music Videos and Concerts,"Young Love celebrates the release of ""Too Young To Fight It"" with a midnight show inside an old factory building.",5.238986111111112,7.2967916666666675,3.822779019733797
s35,Movie,Young Love (at Bowery Ballroom),Unknown,Rob Delaney,United States,2021-04-24,2007,NR,37 min,Music Videos and Concerts,"Young Love returns to Baeble's silver screen with a bigger stage, expanded setlist, nicer clothes, and the same blend of rock, dance, and pop.",5.238986111111112,7.2967916666666675,3.822779019733797
s36,TV Show,Young Lions,Edward Dmytryk,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",Australia,2021-04-24,2002,TV-MA,1 Season,"Drama, Suspense",Australian police show about two male and two female detective senior constables who solve crimes and deal with personal issues.,0.0,5.992,0.0
s37,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",United States,2021-04-24,2015,R,103 min,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.,7.441,11.677,8.6888557
s38,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",United Kingdom,2021-04-24,2017,NC-17,98 min,"Comedy, Drama","In You, Me and Him we meet lesbian couple Olivia and Alex (Lucy Punch, Faye Marsay) who, despite their age difference, are very much in love. But as the question of pregnancy rears its head and their neighbor John (David Tennant) befriends them, they both start making some truly disastrous decisions.",5.7,3.69,2.1033
s39,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,France,2021-04-24,2016,G,9 min,"Fitness, Special Interest","This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!""",5.238986111111112,7.2967916666666675,3.822779019733797
s40,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,France,2021-04-24,2014,G,18 min,"Faith and Spirituality, Special Interest","Sharecare Windows presents Caroline Shola Arewa who describes the positions, meaning and qualities of energy, as well as the seven main chakras, gently leading you into a guided chakra meditation. Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health, emotional stability and spiritual awareness.",5.238986111111112,7.2967916666666675,3.822779019733797
s41,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,France,2021-04-24,2016,G,14 min,"Fitness, Special Interest",Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective.,5.238986111111112,7.2967916666666675,3.822779019733797
s42,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,United States,2021-04-24,2014,G,20 min,Special Interest,"This session with Dr Daniel J Nightingale is helpful for anyone whose quality of life is diminished by habitual and addictive behavior. Discover techniques that can help you break your habit, allowing you to become in control of IT, rather than IT being in control of you. This session will prove to be beneficial to you any time you wish to listen to it-day or night.",5.238986111111112,7.2967916666666675,3.822779019733797
s43,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",Unknown,Lindsey Samper,France,2021-04-24,2018,TV-G,1 Season,Fitness,Lindsey teaches you how to relieve pain & tension throughout the body. This series includes Yoga Flow Classes and videos that simply teach you the stretches. These gentle classes are perfect even if you've never done yoga.,5.238986111111112,7.2967916666666675,3.822779019733797
s44,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,France,2021-04-24,2014,G,19 min,"Fitness, Special Interest",Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted.,5.238986111111112,7.2967916666666675,3.822779019733797
s45,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,United States,2021-04-24,2014,G,18 min,"Fitness, Special Interest","Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted.",5.238986111111112,7.2967916666666675,3.822779019733797
s46,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,United States,2021-04-24,2014,G,20 min,"Fitness, Special Interest","This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm.",5.238986111111112,7.2967916666666675,3.822779019733797
s47,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,United States,2021-04-24,2014,G,20 min,Special Interest,"Relax and reduce your stress while you lay down in a comfortable position to listen to this session. It is a scientific fact that an overload of stress at home or work will eventually affect the body, the mind and its health. A daily dose of relaxation for the Mind and the body will help stress levels to lower by using the breath to regulate the heartbeat.",5.238986111111112,7.2967916666666675,3.822779019733797
s48,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,France,2021-04-24,2016,G,22 min,"Fitness, Special Interest","We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala.",5.238986111111112,7.2967916666666675,3.822779019733797
s49,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,United Kingdom,2021-04-24,2016,G,60 min,"Fitness, Special Interest","This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga",5.238986111111112,7.2967916666666675,3.822779019733797
s50,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,France,2021-04-24,2016,G,6 min,"Fitness, Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga.",5.238986111111112,7.2967916666666675,3.822779019733797
s51,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,,2021-04-24,2016,G,54 min,"Fitness, Special Interest","This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala.",0.0,0.6,0.0
